08-29 16:30:38 exp/93 arm=M4 cpu_total=291.6min delta_5min=36.0min ram=2.03GB
08-29 16:35:56 exp/93 arm=M4 cpu_total=327.3min delta_5min=35.8min ram=2.30GB
08-29 16:43:50 exp/93 arm=M4 cpu_total=378.1min delta_5min=50.8min ram=1.48GB
08-29 16:50:56 exp/93 arm=M4 cpu_total=427.3min delta_5min=49.2min ram=2.31GB
08-29 17:03:54 exp/93 arm=OH cpu_total=30.1min delta_5min=30.1min ram=1.79GB
08-29 17:11:04 exp/93 arm=OH cpu_total=69.4min delta_5min=39.3min ram=1.02GB
08-29 17:21:59 exp/93 arm=OH cpu_total=154.4min delta_5min=85.0min ram=0.66GB
08-29 17:33:06 exp/93 arm=CTR1 cpu_total=31.2min delta_5min=31.2min ram=1.98GB
08-29 17:38:07 exp/93 arm=CTR1 cpu_total=67.2min delta_5min=36.0min ram=1.03GB
08-29 17:43:08 exp/93 arm=CTR1 cpu_total=103.2min delta_5min=36.1min ram=1.16GB
08-29 17:48:09 exp/93 arm=CTR1 cpu_total=139.4min delta_5min=36.1min ram=1.04GB
08-29 17:53:10 exp/93 arm=CTR1 cpu_total=175.3min delta_5min=35.9min ram=1.03GB
08-29 17:58:11 exp/93 arm=CTR1 cpu_total=211.5min delta_5min=36.2min ram=1.08GB
08-29 18:03:12 exp/93 arm=CTR1 cpu_total=249.3min delta_5min=37.7min ram=1.83GB
08-29 18:08:13 exp/93 arm=CTR1 cpu_total=288.9min delta_5min=39.6min ram=1.09GB
08-29 18:13:13 exp/93 arm=CTR1 cpu_total=329.1min delta_5min=40.2min ram=1.05GB
08-29 18:18:13 exp/93 arm=CTR1 cpu_total=366.4min delta_5min=37.3min ram=1.12GB
08-29 22:42:44 exp/100 arm=C6 cpu_total=29.4min delta_5min=29.4min ram=4.68GB bat=2/79%
08-29 22:47:51 exp/100 arm=C6 cpu_total=67.9min delta_5min=38.5min ram=4.66GB bat=2/79%
08-29 22:52:56 exp/100 arm=C6 cpu_total=106.9min delta_5min=39.0min ram=4.08GB bat=2/79%
08-29 22:57:59 exp/100 arm=C6 cpu_total=145.5min delta_5min=38.6min ram=3.55GB bat=1/78%
08-29 23:03:02 exp/100 arm=C6 cpu_total=182.8min delta_5min=37.3min ram=3.00GB bat=1/77%
08-29 23:08:09 exp/100 arm=C6 cpu_total=216.9min delta_5min=34.1min ram=3.96GB bat=1/75%
08-29 23:13:34 exp/100 arm=C6 cpu_total=254.5min delta_5min=37.6min ram=3.94GB bat=1/73%
08-29 23:18:37 exp/100 arm=C6 cpu_total=292.9min delta_5min=38.4min ram=2.48GB bat=1/71%
08-29 23:23:45 exp/100 arm=C6 cpu_total=330.6min delta_5min=37.7min ram=3.17GB bat=1/70%
08-29 23:28:52 exp/100 arm=C6 cpu_total=369.8min delta_5min=39.2min ram=2.93GB bat=1/68%
08-29 23:33:56 exp/100 arm=C6 cpu_total=407.3min delta_5min=37.5min ram=2.13GB bat=1/66%
08-29 23:39:40 exp/100 arm=C6 cpu_total=441.3min delta_5min=34.0min ram=2.44GB bat=1/64%
08-29 23:44:47 exp/100 arm=C6 cpu_total=482.7min delta_5min=41.4min ram=3.15GB bat=1/62%
08-29 23:50:29 exp/100 arm=C6 cpu_total=520.1min delta_5min=37.4min ram=3.46GB bat=1/61%
08-29 23:55:33 exp/100 arm=C6 cpu_total=560.1min delta_5min=39.9min ram=2.93GB bat=1/59%
08-30 00:01:53 exp/100 arm=C6 cpu_total=597.5min delta_5min=37.5min ram=3.74GB bat=1/57%
08-30 00:07:12 exp/100 arm=C6 cpu_total=643.1min delta_5min=45.5min ram=3.86GB bat=1/55%
08-30 00:12:20 exp/100 arm=C6 cpu_total=676.6min delta_5min=33.5min ram=2.38GB bat=1/53%
08-30 00:17:25 exp/100 arm=C6 cpu_total=710.3min delta_5min=33.7min ram=2.55GB bat=2/53%
08-30 00:26:32 exp/100 arm=IT cpu_total=28.9min delta_5min=28.9min ram=3.73GB bat=2/57%
08-30 00:31:45 exp/100 arm=IT cpu_total=61.9min delta_5min=33.0min ram=3.71GB bat=2/60%
08-30 00:37:30 exp/100 arm=IT cpu_total=92.9min delta_5min=30.9min ram=3.54GB bat=2/62%
08-30 00:43:15 exp/100 arm=IT cpu_total=128.9min delta_5min=36.0min ram=3.59GB bat=2/65%
08-30 00:48:20 exp/100 arm=IT cpu_total=164.9min delta_5min=36.0min ram=2.78GB bat=2/67%
08-30 00:53:29 exp/100 arm=IT cpu_total=196.6min delta_5min=31.7min ram=3.21GB bat=2/70%
08-30 00:58:31 exp/100 arm=IT cpu_total=226.2min delta_5min=29.6min ram=3.52GB bat=2/72%
08-30 01:03:45 exp/100 arm=IT cpu_total=258.3min delta_5min=32.1min ram=3.92GB bat=2/75%
08-30 01:08:57 exp/100 arm=IT cpu_total=288.7min delta_5min=30.4min ram=2.11GB bat=2/77%
08-30 01:14:07 exp/100 arm=IT cpu_total=323.2min delta_5min=34.5min ram=2.60GB bat=2/79%
08-30 01:19:59 exp/100 arm=IT cpu_total=355.9min delta_5min=32.6min ram=2.53GB bat=2/79%
08-30 01:25:10 exp/100 arm=IT cpu_total=397.0min delta_5min=41.1min ram=3.02GB bat=2/79%
08-30 01:30:16 exp/100 arm=IT cpu_total=432.4min delta_5min=35.4min ram=2.55GB bat=2/79%
08-30 01:35:25 exp/100 arm=IT cpu_total=467.8min delta_5min=35.4min ram=2.92GB bat=2/79%
08-30 01:40:40 exp/100 arm=IT cpu_total=503.4min delta_5min=35.6min ram=2.22GB bat=2/79%
08-30 01:45:43 exp/100 arm=IT cpu_total=536.8min delta_5min=33.4min ram=1.89GB bat=2/79%
08-30 01:50:46 exp/100 arm=IT cpu_total=570.2min delta_5min=33.4min ram=2.71GB bat=2/79%
08-30 01:55:50 exp/100 arm=IT cpu_total=606.3min delta_5min=36.1min ram=2.70GB bat=2/79%
08-30 02:00:58 exp/100 arm=IT cpu_total=640.9min delta_5min=34.6min ram=2.53GB bat=2/79%
08-30 02:06:13 exp/100 arm=IT cpu_total=675.0min delta_5min=34.1min ram=3.30GB bat=2/79%
08-30 02:11:18 exp/100 arm=IT cpu_total=709.6min delta_5min=34.6min ram=2.80GB bat=2/79%
08-30 02:16:20 exp/100 arm=IT cpu_total=745.5min delta_5min=35.9min ram=3.00GB bat=2/79%
08-30 02:21:47 exp/100 arm=IT cpu_total=782.8min delta_5min=37.3min ram=3.04GB bat=2/79%
08-30 02:26:52 exp/100 arm=IT cpu_total=823.4min delta_5min=40.6min ram=3.07GB bat=2/79%
08-30 02:31:55 exp/100 arm=IT cpu_total=861.1min delta_5min=37.7min ram=2.40GB bat=1/79%
08-30 02:36:57 exp/100 arm=IT cpu_total=897.7min delta_5min=36.6min ram=2.15GB bat=1/77%
08-30 02:41:59 exp/100 arm=IT cpu_total=934.2min delta_5min=36.4min ram=2.14GB bat=1/75%
08-30 02:47:02 exp/100 arm=IT cpu_total=969.7min delta_5min=35.6min ram=2.48GB bat=1/74%
08-30 02:52:05 exp/100 arm=IT cpu_total=1,004.7min delta_5min=35.0min ram=2.27GB bat=2/72%
08-30 02:57:21 exp/100 arm=IT cpu_total=1,040.3min delta_5min=35.6min ram=2.29GB bat=2/75%
08-30 03:02:30 exp/100 arm=IT cpu_total=1,077.1min delta_5min=36.8min ram=2.55GB bat=2/77%
08-30 03:07:33 exp/100 arm=IT cpu_total=1,111.3min delta_5min=34.1min ram=1.53GB bat=2/79%
08-30 03:12:35 exp/100 arm=IT cpu_total=1,145.4min delta_5min=34.2min ram=1.79GB bat=2/79%
08-30 03:17:38 exp/100 arm=IT cpu_total=1,181.5min delta_5min=36.1min ram=2.72GB bat=2/79%
08-30 03:22:42 exp/100 arm=IT cpu_total=1,218.6min delta_5min=37.1min ram=2.91GB bat=2/79%
08-30 03:27:43 exp/100 arm=IT cpu_total=1,255.3min delta_5min=36.6min ram=2.03GB bat=2/79%
08-30 03:32:46 exp/100 arm=IT cpu_total=1,293.4min delta_5min=38.1min ram=1.87GB bat=2/79%
08-30 04:17:27 exp/100 arm=IT300 cpu_total=28.0min delta_5min=28.0min ram=4.58GB bat=2/79%
08-30 04:22:54 exp/100 arm=IT300 cpu_total=62.7min delta_5min=34.8min ram=2.34GB bat=2/79%
08-30 04:28:24 exp/100 arm=IT300 cpu_total=102.0min delta_5min=39.3min ram=2.04GB bat=2/79%
08-30 04:33:28 exp/100 arm=IT300 cpu_total=137.4min delta_5min=35.4min ram=2.52GB bat=2/79%
08-30 04:38:51 exp/100 arm=IT300 cpu_total=172.3min delta_5min=34.9min ram=2.35GB bat=2/79%
08-30 04:43:53 exp/100 arm=IT300 cpu_total=211.3min delta_5min=39.0min ram=2.21GB bat=2/79%
08-30 04:49:00 exp/100 arm=IT300 cpu_total=247.2min delta_5min=35.9min ram=2.60GB bat=2/79%
